物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额
15030003,冰片糖 9.6千克,件,,徐博馆仓库,1.00,61.000,61.00
15030005,宝生园蜜糖 375克,瓶,,徐博馆仓库,25.00,6.500,162.50
15030015,太古红糖 350克,包,,徐博馆仓库,2.00,5.800,11.60
15030027,拉丝糖,包,,徐博馆仓库,3.00,80.000,240.00
15040001,樱花芥辣 43g,支,,徐博馆仓库,9.00,9.000,81.00
15040002,支庄地扪茄酱 340克,支,,徐博馆仓库,11.00,6.000,66.00
15040007,四季宝花生酱 1kg,罐,,徐博馆仓库,2.00,34.000,68.00
15040010,卡夫奇妙酱 700ml,瓶,,徐博馆仓库,1.00,22.000,22.00
15040017,老干妈风味豆豉 280克,瓶,,徐博馆仓库,5.00,6.800,34.00
15040024,原汁酸梅 350g,瓶,,徐博馆仓库,1.00,4.500,4.50
15040036,味可美草莓酱,瓶,,徐博馆仓库,11.00,8.900,97.90
15040041,蒜茸辣椒酱(李锦记） 226克,瓶,,徐博馆仓库,5.00,22.000,110.00
15040043,叉烧酱,瓶,,徐博馆仓库,1.00,22.000,22.00
15040049,阳江豆豉 400克,合,,徐博馆仓库,4.00,4.200,16.80
15040052,南乳 350g,瓶,,徐博馆仓库,3.00,4.500,13.50
15040081,李锦记虾酱 227克,瓶,,徐博馆仓库,5.00,21.000,105.00
15040089,地门玉米粒 420g,罐,,徐博馆仓库,11.00,6.000,66.00
15040091,黄灯笼辣椒酱 100g,罐,,徐博馆仓库,3.00,3.500,10.50
15040095,海鲜酱(李锦记） 240g,瓶,,徐博馆仓库,3.00,14.000,42.00
15040106,东莞黄豆酱 2.8KG,罐,,徐博馆仓库,1.00,48.000,48.00
15040107,红泡椒,罐,,徐博馆仓库,1.00,12.000,12.00
15040118,黑松露酱,瓶,,徐博馆仓库,2.00,487.500,975.00
15040148,丘比蓝莓酱,瓶,,徐博馆仓库,13.00,17.000,221.00
15050016,宁化府陈醋 330ml,支,,徐博馆仓库,112.00,10.750,"1,204.00"
15050019,宝鼎上海白醋,支,,徐博馆仓库,8.00,3.500,28.00
15060003,美极鲜 800毫升,瓶,,徐博馆仓库,3.00,35.500,106.50
15060008,万字豉油 1.8l,瓶,,徐博馆仓库,1.00,37.000,37.00
15060009,日本海鲜豉油 200ml,瓶,,徐博馆仓库,7.00,19.000,133.00
