物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额
15040043,叉烧酱,瓶,,徐博馆仓库,1.00,22.000,22.00
15040052,南乳 350g,瓶,,徐博馆仓库,4.00,5.000,20.00
15040081,李锦记虾酱 227克,瓶,,徐博馆仓库,7.00,21.000,147.00
15040082,坛坛乡剁椒酱 210克,瓶,,徐博馆仓库,12.00,5.000,60.00
15040089,地门玉米粒 420g,罐,,徐博馆仓库,4.00,6.000,24.00
15040091,黄灯笼辣椒酱 100g,罐,,徐博馆仓库,3.00,3.500,10.50
15040095,海鲜酱(李锦记） 240g,瓶,,徐博馆仓库,4.00,14.000,56.00
15040107,红泡椒,罐,,徐博馆仓库,1.00,12.000,12.00
15040109,老干妈辣椒酱,支,,徐博馆仓库,5.00,6.800,34.00
15040118,黑松露酱,瓶,,徐博馆仓库,3.00,487.500,"1,462.50"
15040125,杏仁霜,罐,,徐博馆仓库,1.00,14.000,14.00
15040148,丘比蓝莓酱,瓶,,徐博馆仓库,2.00,17.000,34.00
15050016,宁化府陈醋 330ml,支,,徐博馆仓库,28.00,10.750,301.00
15050019,宝鼎上海白醋,支,,徐博馆仓库,8.00,3.300,26.40
15060001,金标生抽,瓶,,徐博馆仓库,3.00,16.600,49.80
15060003,美极鲜 800毫升,瓶,,徐博馆仓库,2.00,35.500,71.00
15060008,万字豉油 1.8l,瓶,,徐博馆仓库,1.00,37.000,37.00
15060009,日本海鲜豉油 200ml,瓶,,徐博馆仓库,11.00,19.000,209.00
15060010,李锦记旧装蚝油 510克,瓶,,徐博馆仓库,14.00,29.500,413.00
15060016,泰国鱼露 725毫升,瓶,,徐博馆仓库,5.00,8.000,40.00
15060029,味淋 1.8l,瓶,,徐博馆仓库,6.00,25.833,155.00
15060033,家乐浓缩鸡汁 1kg,瓶,,徐博馆仓库,8.00,51.000,408.00
15060045,李锦记财神蚝油 907G,支,,徐博馆仓库,14.00,13.500,189.00
15060049,海天罐装草菇老抽 1.9L,罐,,徐博馆仓库,10.00,18.200,182.00
15060050,丘比凯撒沙拉汁 1kg,支,,徐博馆仓库,5.00,60.000,300.00
15060054,鸡饭老抽 640ml,支,,徐博馆仓库,4.00,21.000,84.00
15060062,东古一品鲜酱油 500ML,支,,徐博馆仓库,12.00,7.500,90.00
15060063,丘比焙煎芝麻汁 1.5L,支,,徐博馆仓库,2.00,60.000,120.00
15060064,韩国烧汁,支,,徐博馆仓库,2.00,55.000,110.00
15060069,家乐麻辣鲜露 400ml,支,,徐博馆仓库,2.00,15.000,30.00
15070023,鱼胶粉 500克,盒,,徐博馆仓库,3.00,52.000,156.00
15070026,鹰粟粉 1kg,包,,徐博馆仓库,4.00,10.000,40.00
15070027,斧头食粉 454g,合,,徐博馆仓库,2.00,4.500,9.00
15070029,依仕粉 500g,包,,徐博馆仓库,3.00,18.000,54.00
15070032,松肉粉,瓶,,徐博馆仓库,1.00,11.000,11.00
15070037,胡椒粉 400g,包,,徐博馆仓库,1.00,5.000,5.00
15070062,奶粉 500g,包,,徐博馆仓库,3.00,31.000,93.00
15070084,鸡粉 2kg,罐,,徐博馆仓库,5.00,65.000,325.00
15070125,客家鸡料,盒,,徐博馆仓库,1.00,9.000,9.00
15070129,木鱼素,盒,,徐博馆仓库,1.00,85.000,85.00
15070134,靓佛手味粉 4540g,包,,徐博馆仓库,1.00,165.000,165.00
15070146,木薯粉 0.5KG,包,,徐博馆仓库,10.00,5.500,55.00
15070148,麝香,支,,徐博馆仓库,80.00,117.957,"9,436.59"
15080002,虾米,斤,,徐博馆仓库,4.00,43.000,172.00
15080014,大花菇,斤,,徐博馆仓库,6.00,166.730,"1,000.38"
15080023,榆耳,斤,,徐博馆仓库,1.00,150.000,150.00
15080025,雪耳,斤,,徐博馆仓库,1.50,35.000,52.50
15080027,日本紫菜 50片4两,包,,徐博馆仓库,3.00,25.000,75.00
15080035,110头元柱甫,斤,,徐博馆仓库,0.50,364.320,182.16
15080087,羊肚菌,斤,,徐博馆仓库,1.00,"1,450.000","1,450.00"
15080109,日本昆布 0.2斤/包,包,,徐博馆仓库,16.00,116.000,"1,856.00"
15080113,靓老鼠耳,斤,,徐博馆仓库,3.00,105.000,315.00
15080150,70头碎柱,斤,,徐博馆仓库,10.00,266.670,"2,666.70"
15080165,野生金耳 0.5斤/包,斤,,徐博馆仓库,0.50,100.000,50.00
15080166,龙口粉丝 200g,包,,徐博馆仓库,13.00,3.500,45.50
15080168,去衣杏仁,斤,,徐博馆仓库,7.00,21.000,147.00
15080178,小米辣椒,斤,,徐博馆仓库,4.00,4.000,16.00
15080180,包装支竹 150G,包,,徐博馆仓库,3.00,6.500,19.50
15080191,海南胡椒 1斤,包,,徐博馆仓库,25.00,58.000,"1,450.00"
