物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额
10010019,鱼沼米 5KG,包,,徐博馆仓库,26.00,304.000,"7,904.00"
10010021,苏比利尔野米,包,,徐博馆仓库,2.00,63.000,126.00
10010033,东坡红米 2.5斤,包,,徐博馆仓库,2.00,20.000,40.00
10020018,东北粉条,斤,,徐博馆仓库,4.00,12.000,48.00
10030006,丽歌意粉,包,,徐博馆仓库,1.00,48.000,48.00
,粮油,,,,,,"8,175.00"
10010022,三象糯米粉,包,,徐博馆仓库,20.00,6.100,122.00
10020022,粘米粉(斤),斤,,徐博馆仓库,20.00,5.000,100.00
10030039,燕麦,斤,,徐博馆仓库,4.00,3.460,13.84
11020022,姬松茸,斤,,徐博馆仓库,1.00,140.000,140.00
11060137,意大利黑醋,支,,徐博馆仓库,3.00,26.000,78.00
11060142,猴枣散,克,,徐博馆仓库,47.00,350.000,"16,450.00"
12030019,长城干红 750ml,支,,徐博馆仓库,5.00,24.000,120.00
12030020,旧二锅头 500ml,支,,徐博馆仓库,7.00,8.000,56.00
12030025,清酒 1.8升,支,,徐博馆仓库,3.00,130.000,390.00
12030032,张裕白兰地 750ml,支,,徐博馆仓库,4.00,17.000,68.00
12030041,九江双蒸 610ml,支,,徐博馆仓库,9.00,8.000,72.00
12030050,塔牌花雕 500ML,支,,徐博馆仓库,8.00,6.500,52.00
12030058,古越龙山花雕,支,,徐博馆仓库,1.00,16.500,16.50
13020007,苹果醋,支,,徐博馆仓库,14.00,5.200,72.80
13020017,葡萄汁,支,,徐博馆仓库,5.00,36.000,180.00
15010011,芥茉油 60毫升,支,,徐博馆仓库,5.00,4.000,20.00
15010017,橄榄油 1公升,瓶,,徐博馆仓库,4.00,37.000,148.00
15010033,虾头油 200克,罐,,徐博馆仓库,6.00,25.000,150.00
15010051,日本蚝油,支,,徐博馆仓库,29.00,120.000,"3,480.00"
15020002,白味盐,支,,徐博馆仓库,1.00,7.000,7.00
15020013,黑盐,瓶,,徐博馆仓库,293.00,27.092,"7,937.85"
15020014,双桥牌味精,包,,徐博馆仓库,2.00,8.000,16.00
15030003,冰片糖 9.6千克,件,,徐博馆仓库,1.00,58.000,58.00
15030005,宝生园蜜糖 375克,瓶,,徐博馆仓库,20.00,6.500,130.00
15030015,太古红糖 350克,包,,徐博馆仓库,2.00,6.000,12.00
15030016,双桥麦芽糖,桶,,徐博馆仓库,4.00,3.000,12.00
15040001,樱花芥辣 43g,支,,徐博馆仓库,14.00,9.000,126.00
15040002,支庄地扪茄酱 340克,支,,徐博馆仓库,5.00,6.000,30.00
