物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额
15040082,坛坛乡剁椒酱 210克,瓶,,徐博馆仓库,12.00,5.000,60.00
15040089,地门玉米粒 420g,罐,,徐博馆仓库,18.00,6.000,108.00
15040091,黄灯笼辣椒酱 100g,罐,,徐博馆仓库,3.00,3.500,10.50
15040095,海鲜酱(李锦记） 240g,瓶,,徐博馆仓库,6.00,14.000,84.00
15040106,东莞黄豆酱 2.8KG,罐,,徐博馆仓库,2.00,48.000,96.00
15040107,红泡椒,罐,,徐博馆仓库,4.00,12.000,48.00
15040118,黑松露酱,瓶,,徐博馆仓库,3.00,487.600,"1,462.80"
15040125,杏仁霜,罐,,徐博馆仓库,1.00,14.000,14.00
15050009,花城白米醋 630毫升,瓶,,徐博馆仓库,1.00,3.500,3.50
15050016,宁化府陈醋 330ml,支,,徐博馆仓库,16.00,10.750,172.00
15050019,宝鼎上海白醋,支,,徐博馆仓库,21.00,3.200,67.20
15060003,美极鲜 800毫升,瓶,,徐博馆仓库,3.00,35.500,106.50
15060008,万字豉油 1.8l,瓶,,徐博馆仓库,1.00,37.000,37.00
15060009,日本海鲜豉油 200ml,瓶,,徐博馆仓库,5.00,19.000,95.00
15060010,李锦记旧装蚝油 510克,瓶,,徐博馆仓库,5.00,32.000,160.00
15060016,泰国鱼露 725毫升,瓶,,徐博馆仓库,2.00,8.000,16.00
15060022,保卫尔牛肉汁 375ml,瓶,,徐博馆仓库,1.00,47.000,47.00
15060029,味淋 1.8l,瓶,,徐博馆仓库,5.00,29.500,147.50
15060033,家乐浓缩鸡汁 1kg,瓶,,徐博馆仓库,7.00,51.000,357.00
15060045,李锦记财神蚝油 907G,支,,徐博馆仓库,14.00,13.500,189.00
15060048,海天罐装金标生抽 1.9l,罐,,徐博馆仓库,5.00,16.600,83.00
15060049,海天罐装草菇老抽 1.9L,罐,,徐博馆仓库,5.00,18.200,91.00
15060050,丘比凯撒沙拉汁 1kg,支,,徐博馆仓库,1.00,60.000,60.00
15060054,鸡饭老抽 640ml,支,,徐博馆仓库,1.00,21.000,21.00
15060062,东古一品鲜酱油 500ML,支,,徐博馆仓库,14.00,7.000,98.00
15060063,丘比焙煎芝麻汁 1.5L,支,,徐博馆仓库,4.00,60.000,240.00
