物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额,,,
12030030,客家娘酒 640ml,支,,徐博馆仓库,2.00,16.000,32.00,,,
12030032,张裕白兰地 750ml,支,,徐博馆仓库,3.00,16.500,49.50,,,
12030041,九江双蒸 610ml,支,,徐博馆仓库,5.00,8.000,40.00,,,
12030050,塔牌花雕 500ML,支,,徐博馆仓库,4.00,6.500,26.00,,,
13020007,苹果醋,支,,徐博馆仓库,17.00,5.200,88.40,,,
13020017,葡萄汁,支,,徐博馆仓库,5.00,33.000,165.00,,,
15010011,芥茉油 60毫升,支,,徐博馆仓库,15.00,4.000,60.00,,,
15010013,花椒油 360ml,瓶,,徐博馆仓库,9.00,13.500,121.50,,,
15010017,橄榄油 1公升,瓶,,徐博馆仓库,2.00,40.000,80.00,,,
15010033,虾头油 200克,罐,,徐博馆仓库,8.00,25.000,200.00,,,
15020002,白味盐,支,,徐博馆仓库,8.00,7.000,56.00,,,
15020012,七味盐,支,,徐博馆仓库,10.00,8.500,85.00,,,
15020013,黑盐,瓶,,徐博馆仓库,313.00,25.361,"7,937.85",,,
15020014,双桥牌味精,包,,徐博馆仓库,3.00,8.000,24.00,,,
15030003,冰片糖 9.6千克,件,,徐博馆仓库,1.00,66.000,66.00,,,
15030004,麦牙糖 250g,罐,,徐博馆仓库,1.00,3.000,3.00,,,
15030005,宝生园蜜糖 375克,瓶,,徐博馆仓库,10.00,7.000,70.00,,,
15030015,太古红糖 350克,包,,徐博馆仓库,3.00,7.900,23.70,,,
15030027,拉丝糖,包,,徐博馆仓库,3.00,80.000,240.00,,,
15040001,樱花芥辣 43g,支,,徐博馆仓库,12.00,9.000,108.00,,,
15040002,支庄地扪茄酱 340克,支,,徐博馆仓库,6.00,6.000,36.00,,,
15040005,李锦记豆瓣酱 226克,支,,徐博馆仓库,12.00,15.000,180.00,,,
15040010,卡夫奇妙酱 700ml,瓶,,徐博馆仓库,4.00,22.000,88.00,,,
15040012,沙茶酱(李锦记） 198克,瓶,,徐博馆仓库,4.00,15.000,60.00,,,
15040014,支庄柱候酱 240克,瓶,,徐博馆仓库,1.00,14.000,14.00,,,
15040017,老干妈风味豆豉 280克,瓶,,徐博馆仓库,12.00,6.800,81.60,,,
15040036,味可美草莓酱,瓶,,徐博馆仓库,9.00,8.900,80.10,,,
15040041,蒜茸辣椒酱(李锦记） 226克,瓶,,徐博馆仓库,3.00,22.000,66.00,,,
15040043,叉烧酱,瓶,,徐博馆仓库,5.00,22.000,110.00,,,
15040049,阳江豆豉 400克,合,,徐博馆仓库,5.00,4.000,20.00,,,
15040063,蓝莓酱 340g,瓶,,徐博馆仓库,8.00,38.000,304.00,,,
15040081,李锦记虾酱 227克,瓶,,徐博馆仓库,9.00,21.000,189.00,,,
15040082,坛坛乡剁椒酱 210克,瓶,,徐博馆仓库,12.00,5.000,60.00,,,
15040089,地门玉米粒 420g,罐,,徐博馆仓库,13.00,6.000,78.00,,,
15040091,黄灯笼辣椒酱 100g,罐,,徐博馆仓库,3.00,3.500,10.50,,,
15040095,海鲜酱(李锦记） 240g,瓶,,徐博馆仓库,6.00,14.000,84.00,,,
15040106,东莞黄豆酱 2.8KG,罐,,徐博馆仓库,1.00,48.000,48.00,,,
15040107,红泡椒,罐,,徐博馆仓库,5.00,12.000,60.00,,,
15040118,黑松露酱,瓶,,徐博馆仓库,2.00,487.600,975.20,,,
