物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额
15060009,日本海鲜豉油 200ml,瓶,,徐博馆仓库,5.00,20.000,100.00
15060010,李锦记旧装蚝油 510克,瓶,,徐博馆仓库,9.00,29.500,265.50
15060016,泰国鱼露 725毫升,瓶,,徐博馆仓库,5.00,8.000,40.00
15060022,保卫尔牛肉汁 375ml,瓶,,徐博馆仓库,4.00,48.000,192.00
15060029,味淋 1.8l,瓶,,徐博馆仓库,2.00,55.000,110.00
15060033,家乐浓缩鸡汁 1kg,瓶,,徐博馆仓库,6.00,50.000,300.00
15060048,海天罐装金标生抽 1.9l,罐,,徐博馆仓库,5.00,16.700,83.50
15060049,海天罐装草菇老抽 1.9L,罐,,徐博馆仓库,2.00,18.000,36.00
15060054,鸡饭老抽 640ml,支,,徐博馆仓库,6.00,21.000,126.00
15060062,东古一品鲜酱油 500ML,支,,徐博馆仓库,18.00,7.500,135.00
15060063,丘比焙煎芝麻汁 1.5L,支,,徐博馆仓库,1.00,58.000,58.00
15060064,韩国烧汁,支,,徐博馆仓库,2.00,50.000,100.00
15060065,李派林急汁,支,,徐博馆仓库,1.00,17.500,17.50
15060069,家乐麻辣鲜露 400ml,支,,徐博馆仓库,13.00,15.000,195.00
15070009,旗牌芥辣,支,,徐博馆仓库,2.00,8.000,16.00
15070023,鱼胶粉 500克,盒,,徐博馆仓库,5.00,52.000,260.00
15070026,鹰粟粉 1kg,包,,徐博馆仓库,13.00,10.000,130.00
15070027,斧头食粉 454g,合,,徐博馆仓库,3.00,4.500,13.50
15070029,依仕粉 500g,包,,徐博馆仓库,4.00,17.000,68.00
15070032,松肉粉,瓶,,徐博馆仓库,2.00,11.000,22.00
15070084,鸡粉 2kg,罐,,徐博馆仓库,9.00,65.000,585.00
15070125,客家鸡料,盒,,徐博馆仓库,2.00,9.000,18.00
15070134,靓佛手味粉 4540g,包,,徐博馆仓库,2.00,165.000,330.00
15070146,木薯粉 0.5KG,包,,徐博馆仓库,10.00,5.500,55.00
15070148,麝香,支,,徐博馆仓库,80.00,117.957,"9,436.59"
15080002,虾米,斤,,徐博馆仓库,10.00,43.000,430.00
15080014,大花菇,斤,,徐博馆仓库,4.00,166.730,666.92
15080019,竹笙,斤,,徐博馆仓库,3.40,300.000,"1,020.00"
15080023,榆耳,斤,,徐博馆仓库,1.00,150.000,150.00
15080025,雪耳,斤,,徐博馆仓库,1.50,35.000,52.50
15080027,日本紫菜 50片4两,包,,徐博馆仓库,2.00,25.000,50.00
15080080,好味面包糠,包,,徐博馆仓库,2.00,12.000,24.00
15080087,羊肚菌,斤,,徐博馆仓库,5.00,"1,300.000","6,500.00"
15080097,黑虎掌菌,斤,,徐博馆仓库,1.00,580.000,580.00
15080113,靓老鼠耳,斤,,徐博馆仓库,7.50,105.000,787.50
15080150,70头碎柱,斤,,徐博馆仓库,13.50,283.330,"3,824.95"
15080157,70头柱甫,斤,,徐博馆仓库,1.00,387.060,387.06
15080166,龙口粉丝 200g,包,,徐博馆仓库,16.00,3.500,56.00
15080168,去衣杏仁,斤,,徐博馆仓库,6.00,21.000,126.00
15080178,小米辣椒,斤,,徐博馆仓库,12.00,4.000,48.00
15080191,海南胡椒 1斤,包,,徐博馆仓库,11.00,58.000,638.00
15080193,鲨鱼胶（小）,斤,,徐博馆仓库,7.80,327.627,"2,555.49"
