物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额
15050016,宁化府陈醋 330ml,支,,徐博馆仓库,72.00,10.750,774.00
15050019,宝鼎上海白醋,支,,徐博馆仓库,6.00,3.600,21.60
15060003,美极鲜 800毫升,瓶,,徐博馆仓库,2.00,35.500,71.00
15060009,日本海鲜豉油 200ml,瓶,,徐博馆仓库,7.00,20.000,140.00
15060010,李锦记旧装蚝油 510克,瓶,,徐博馆仓库,12.00,29.500,354.00
15060029,味淋 1.8l,瓶,,徐博馆仓库,5.00,55.000,275.00
15060033,家乐浓缩鸡汁 1kg,瓶,,徐博馆仓库,4.00,50.000,200.00
15060048,海天罐装金标生抽 1.9l,罐,,徐博馆仓库,3.00,16.600,49.80
15060050,丘比凯撒沙拉汁 1kg,支,,徐博馆仓库,3.00,60.000,180.00
15060054,鸡饭老抽 640ml,支,,徐博馆仓库,4.00,21.000,84.00
15060062,东古一品鲜酱油 500ML,支,,徐博馆仓库,11.00,7.500,82.50
15060063,丘比焙煎芝麻汁 1.5L,支,,徐博馆仓库,3.00,58.000,174.00
15060064,韩国烧汁,支,,徐博馆仓库,6.00,50.000,300.00
15060069,家乐麻辣鲜露 400ml,支,,徐博馆仓库,3.00,15.000,45.00
15070009,旗牌芥辣,支,,徐博馆仓库,1.00,8.000,8.00
15070023,鱼胶粉 500克,盒,,徐博馆仓库,4.00,52.000,208.00
15070026,鹰粟粉 1kg,包,,徐博馆仓库,10.00,10.000,100.00
15070027,斧头食粉 454g,合,,徐博馆仓库,4.00,4.500,18.00
15070029,依仕粉 500g,包,,徐博馆仓库,2.00,17.000,34.00
15070032,松肉粉,瓶,,徐博馆仓库,1.00,11.000,11.00
15070062,奶粉 500g,包,,徐博馆仓库,2.00,31.000,62.00
15070084,鸡粉 2kg,罐,,徐博馆仓库,6.00,65.000,390.00
15070125,客家鸡料,盒,,徐博馆仓库,5.00,9.000,45.00
15070134,靓佛手味粉 4540g,包,,徐博馆仓库,2.00,165.000,330.00
15070146,木薯粉 0.5KG,包,,徐博馆仓库,10.00,5.500,55.00
15070148,麝香,支,,徐博馆仓库,80.00,117.957,"9,436.59"
15080002,虾米,斤,,徐博馆仓库,5.00,43.000,215.00
15080014,大花菇,斤,,徐博馆仓库,3.00,166.730,500.19
15080023,榆耳,斤,,徐博馆仓库,1.00,150.000,150.00
15080025,雪耳,斤,,徐博馆仓库,1.50,35.000,52.50
15080027,日本紫菜 50片4两,包,,徐博馆仓库,1.00,25.000,25.00
15080080,好味面包糠,包,,徐博馆仓库,2.00,12.000,24.00
15080097,黑虎掌菌,斤,,徐博馆仓库,1.00,580.000,580.00
15080109,日本昆布 0.2斤/包,包,,徐博馆仓库,14.00,116.000,"1,624.00"
15080113,靓老鼠耳,斤,,徐博馆仓库,4.00,105.000,420.00
15080127,小米椒,斤,,徐博馆仓库,12.00,4.000,48.00
15080150,70头碎柱,斤,,徐博馆仓库,5.00,283.330,"1,416.65"
15080168,去衣杏仁,斤,,徐博馆仓库,12.00,21.000,252.00
15080180,包装支竹 150G,包,,徐博馆仓库,3.00,6.500,19.50
15080191,海南胡椒 1斤,包,,徐博馆仓库,16.00,58.000,928.00
15080193,鲨鱼胶（小）,斤,,徐博馆仓库,7.80,327.627,"2,555.49"
15080194,鲨鱼胶（中）,斤,,徐博馆仓库,6.50,393.149,"2,555.47"
15080196,黄鱼皮,斤,,徐博馆仓库,28.00,326.880,"9,152.64"
15080202,山瑞裙,斤,,徐博馆仓库,15.30,666.670,"10,200.05"
15090006,绿豆,斤,,徐博馆仓库,2.00,6.500,13.00
15090016,腰果,斤,,徐博馆仓库,3.00,35.000,105.00
15090023,松子仁,斤,,徐博馆仓库,1.00,100.000,100.00
15090028,白芝麻,斤,,徐博馆仓库,2.00,11.000,22.00
15090032,无核红枣,斤,,徐博馆仓库,2.00,7.000,14.00
15090036,意米,斤,,徐博馆仓库,2.00,9.500,19.00
15090106,西杏片,斤,,徐博馆仓库,2.00,43.000,86.00
