物资编码,品名规格,单位,货架号,位置,数量,单价,金额
12030030,客家娘酒 640ml,支,,徐博馆仓库,2.00,16.000,32.00
12030032,张裕白兰地 750ml,支,,徐博馆仓库,4.00,16.500,66.00
12030041,九江双蒸 610ml,支,,徐博馆仓库,8.00,8.000,64.00
12030050,塔牌花雕 500ML,支,,徐博馆仓库,9.00,6.500,58.50
13020007,苹果醋,支,,徐博馆仓库,15.00,5.200,78.00
13020017,葡萄汁,支,,徐博馆仓库,4.00,33.000,132.00
15010011,芥茉油 60毫升,支,,徐博馆仓库,24.00,4.000,96.00
15010013,花椒油 360ml,瓶,,徐博馆仓库,9.00,13.500,121.50
15010017,橄榄油 1公升,瓶,,徐博馆仓库,5.00,40.000,200.00
15010033,虾头油 200克,罐,,徐博馆仓库,4.00,25.000,100.00
15020012,七味盐,支,,徐博馆仓库,10.00,8.500,85.00
15020013,黑盐,瓶,,徐博馆仓库,319.00,24.884,"7,937.85"
15020014,双桥牌味精,包,,徐博馆仓库,3.00,8.000,24.00
15030002,冰糖 9.6千克,件,,徐博馆仓库,1.00,73.000,73.00
15030003,冰片糖 9.6千克,件,,徐博馆仓库,1.00,66.000,66.00
15030004,麦牙糖 250g,罐,,徐博馆仓库,2.00,3.000,6.00
15030005,宝生园蜜糖 375克,瓶,,徐博馆仓库,11.00,7.000,77.00
15030015,太古红糖 350克,包,,徐博馆仓库,9.00,7.900,71.10
15030027,拉丝糖,包,,徐博馆仓库,3.00,80.000,240.00
15040001,樱花芥辣 43g,支,,徐博馆仓库,11.00,9.000,99.00
15040002,支庄地扪茄酱 340克,支,,徐博馆仓库,54.00,6.000,324.00
15040005,李锦记豆瓣酱 226克,支,,徐博馆仓库,12.00,15.000,180.00
15040010,卡夫奇妙酱 700ml,瓶,,徐博馆仓库,5.00,22.800,114.00
15040012,沙茶酱(李锦记） 198克,瓶,,徐博馆仓库,4.00,15.000,60.00
15040014,支庄柱候酱 240克,瓶,,徐博馆仓库,1.00,14.000,14.00
15040017,老干妈风味豆豉 280克,瓶,,徐博馆仓库,2.00,6.800,13.60
15040028,美国辣椒仔 60毫升,瓶,,徐博馆仓库,12.00,11.000,132.00
15040036,味可美草莓酱,瓶,,徐博馆仓库,17.00,8.900,151.30
15040041,蒜茸辣椒酱(李锦记） 226克,瓶,,徐博馆仓库,3.00,22.000,66.00
15040049,阳江豆豉 400克,合,,徐博馆仓库,6.00,4.000,24.00
15040052,南乳 350g,瓶,,徐博馆仓库,6.00,4.500,27.00
15040063,蓝莓酱 340g,瓶,,徐博馆仓库,12.00,38.000,456.00
15040064,泰国辣鸡酱 880g,瓶,,徐博馆仓库,1.00,13.000,13.00
15040081,李锦记虾酱 227克,瓶,,徐博馆仓库,3.00,21.000,63.00
15040082,坛坛乡剁椒酱 210克,瓶,,徐博馆仓库,12.00,5.000,60.00
15040089,地门玉米粒 420g,罐,,徐博馆仓库,16.00,6.000,96.00
15040091,黄灯笼辣椒酱 100g,罐,,徐博馆仓库,3.00,3.500,10.50
15040095,海鲜酱(李锦记） 240g,瓶,,徐博馆仓库,8.00,14.000,112.00
15040107,红泡椒,罐,,徐博馆仓库,7.00,12.000,84.00
15040118,黑松露酱,瓶,,徐博馆仓库,4.00,487.600,"1,950.40"
15040119,家乐干锅酱 800G,瓶,,徐博馆仓库,1.00,48.000,48.00
15040125,杏仁霜,罐,,徐博馆仓库,1.00,14.000,14.00
15040134,李锦记黄豆酱,罐,,徐博馆仓库,12.00, , 
15040139,草莓酱,瓶,,徐博馆仓库,3.00,16.500,49.50
