id,name,quantity_unit,price_unit,price,quantity,revenue,department_id,month_id,year_id
720,西藏甘草雪茶（午市散台）,位,RMB,18.00,77.0,1386.00,2,9,1
721,金瓜五谷烩龙趸皮,位,RMB,138.00,18.0,2484.00,4,3,1
722,五谷烩花胶粒,位,RMB,128.00,23.0,2944.00,5,11,1
723,冰冻清润茶,位,RMB,18.00,9.0,162.00,2,2,1
724,荷塘炒角螺片,例,RMB,168.00,19.0,3192.00,5,9,1
725,百花雀,只,RMB,68.00,256.0,17408.00,4,11,1
726,鹅肝粒炒饭,例,RMB,58.00,2.0,116.00,5,7,1
727,春菜苗,例,RMB,58.00,19.0,1102.00,5,9,1
728,清炒莲藕片,例,RMB,68.00,1.0,68.00,5,6,1
729,开胃泡椒鸭舌,份,RMB,58.00,94.0,5452.00,1,1,2
730,开刀黄皮老虎斑,斤,RMB,536.00,1.2,643.20,8,4,1
731,开胃泡椒鸭舌,份,RMB,58.00,86.0,4988.00,1,1,1
732,阳澄湖大闸蟹（公）,只,RMB,165.26,179.0,29582.0,8,10,1
733,香煎淮山炒带子,例,RMB,160.00,3.0,480.00,4,4,1
734,香煎淮山炒带子,例,RMB,160.00,13.0,2080.00,4,4,2
735,空中金腿皇,盒,RMB,580.00,2.0,1160.00,7,7,1
736,蛋挞,件,RMB,8.00,3.0,24.00,3,2,2
737,珍菌炒鹅肝粒(中),中,RMB,195.99,8.0,1567.83,5,7,1
738,蛋挞,件,RMB,10.00,12.0,120.00,3,2,1
739,意大利黑醋拌海蜇,份,RMB,88.00,29.0,2552.00,1,3,1
740,意大利黑醋拌海蜇,份,RMB,88.00,7.0,616.00,1,3,2
741,番薯叶(位),位,RMB,28.00,25.0,700.00,5,4,2
742,番薯叶(位),位,RMB,28.00,84.0,2352.00,5,4,1
743,水果（送）,位,RMB,0.00,2771.0,0.00,2,7,1
744,日本鱼沼米生滚粥(位),位,RMB,30.00,4.0,120.00,5,4,2
745,西藏甘草雪茶(赠送）,位,RMB,0.00,49.0,0.00,2,3,2
746,博士养生茶(赠送）,位,RMB,0.00,2078.0,0.00,2,7,1
747,老鼠斑,斤,RMB,498.00,13.1,6523.80,8,1,2
748,黑芝麻汤丸,位,RMB,16.00,27.0,432.00,3,1,1
749,藏红花润肺茶（午市散台）,位,RMB,18.00,50.0,900.00,2,1,1
750,藏红花润肺茶（午市散台）,位,RMB,18.00,100.0,1800.00,2,1,2
751,鲜榨西瓜汁,杯,RMB,20.00,5.0,100.00,2,6,1
752,喜之次鱼,斤,RMB,680.00,20.9,14212.00,5,12,1
753,开刀苏眉咀,斤,RMB,1080.0,1.5,1620.0,8,4,1
754,鹅肝三拼,例,RMB,388.00,25.0,9700.00,5,7,1
755,精选黑森林生日蛋糕(员工价）,磅,RMB,48.00,2.0,96.00,3,2,1
756,美国燕麦局大连鲍,位,RMB,88.00,14.0,1232.00,8,4,2
757,焦糖蜂巢糕（中）,份,RMB,18.00,111.0,1998.00,3,3,2
758,美国燕麦局大连鲍,位,RMB,88.00,39.0,3432.00,8,4,1
759,菜心粒炒饭,例,RMB,58.00,1.0,58.00,5,11,1
760,玛卡绅士强身汤,位,RMB,268.00,22.0,5896.00,9,9,1
761,名酱红米肠（小）,份,RMB,13.00,72.0,936.00,3,7,1
762,清炒露笋,例,RMB,78.00,1.0,78.00,5,8,1
763,卤水老鹅头,只,RMB,"1,000.00",1.0,1000.00,5,12,1
764,疍家鱼生粥（大）,份,RMB,22.00,90.0,1980.00,5,5,1
765,美式芝士饼,位,RMB,22.00,9.0,198.00,3,5,1
766,开刀龙趸,斤,RMB,198.00,5.0,990.00,8,3,1
767,焦糖布甸蛋糕(11月套餐),位,RMB,10.38,174.0,1805.91,3,1,2
768,什菌汁煮日本帆立贝,位,RMB,78.00,36.0,2808.00,4,5,1
769,黄丁（半价）,斤,RMB,194.00,20.8,4035.20,8,3,1
