物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额
15070026,鹰粟粉 1kg,包,,徐博馆仓库,12.00,10.000,120.00
15070027,斧头食粉 454g,合,,徐博馆仓库,5.00,4.500,22.50
15070029,依仕粉 500g,包,,徐博馆仓库,4.00,17.000,68.00
15070032,松肉粉,瓶,,徐博馆仓库,1.00,11.000,11.00
15070062,奶粉 500g,包,,徐博馆仓库,2.00,32.000,64.00
15070084,鸡粉 2kg,罐,,徐博馆仓库,4.00,65.000,260.00
15070125,客家鸡料,盒,,徐博馆仓库,5.00,9.000,45.00
15070134,靓佛手味粉 4540g,包,,徐博馆仓库,1.00,170.000,170.00
15070146,木薯粉 0.5KG,包,,徐博馆仓库,5.00,5.500,27.50
15070148,麝香,支,,徐博馆仓库,80.00,117.957,"9,436.59"
15080002,虾米,斤,,徐博馆仓库,6.00,43.000,258.00
15080019,竹笙,斤,,徐博馆仓库,4.70,300.000,"1,410.00"
15080023,榆耳,斤,,徐博馆仓库,1.00,150.000,150.00
15080027,日本紫菜 50片4两,包,,徐博馆仓库,3.00,25.000,75.00
15080080,好味面包糠,包,,徐博馆仓库,2.00,12.000,24.00
15080087,羊肚菌,斤,,徐博馆仓库,5.00,"1,050.000","5,250.00"
15080109,日本昆布 0.2斤/包,包,,徐博馆仓库,14.00,113.600,"1,590.40"
15080150,70头碎柱,斤,,徐博馆仓库,9.50,283.329,"2,691.63"
15080157,70头柱甫,斤,,徐博馆仓库,1.00,387.060,387.06
15080166,龙口粉丝 200g,包,,徐博馆仓库,16.00,3.500,56.00
15080168,去衣杏仁,斤,,徐博馆仓库,12.00,21.000,252.00
15080191,海南胡椒 1斤,包,,徐博馆仓库,5.00,58.000,290.00
15080193,鲨鱼胶（小）,斤,,徐博馆仓库,6.50,327.626,"2,129.57"
15080194,鲨鱼胶（中）,斤,,徐博馆仓库,5.50,393.149,"2,162.32"
15080196,黄鱼皮,斤,,徐博馆仓库,28.00,326.880,"9,152.64"
15080202,山瑞裙,斤,,徐博馆仓库,14.00,666.670,"9,333.38"
15080204,日本昆布 0.1斤/条,条,,徐博馆仓库,111.00,26.400,"2,930.40"
15090006,绿豆,斤,,徐博馆仓库,11.00,6.500,71.50
15090016,腰果,斤,,徐博馆仓库,22.70,35.000,794.50
15090029,蜜枣,斤,,徐博馆仓库,3.00,8.000,24.00
15090030,元肉,斤,,徐博馆仓库,1.00,25.000,25.00
15090032,无核红枣,斤,,徐博馆仓库,5.00,7.000,35.00
15090036,意米,斤,,徐博馆仓库,2.00,9.500,19.00
15090106,西杏片,斤,,徐博馆仓库,2.00,45.000,90.00
15090107,红衣花生,斤,,徐博馆仓库,8.00,8.000,64.00
15090127,雪莲子,斤,,徐博馆仓库,1.00,175.000,175.00
15090147,无心白莲子,斤,,徐博馆仓库,2.00,42.000,84.00
15090148,干无花果,斤,,徐博馆仓库,2.00,20.000,40.00
15100002,鹰唛炼奶 370g,罐,,徐博馆仓库,15.00,11.300,169.50
15100004,三花淡奶 410克,罐,,徐博馆仓库,8.00,7.000,56.00
15100005,保利奶 1kg,罐,,徐博馆仓库,5.00,16.000,80.00
15100018,豆豉鲮鱼 227g,罐,,徐博馆仓库,7.00,8.000,56.00
15100020,红车厘子 737,罐,,徐博馆仓库,7.00,19.000,133.00
15100026,高达椰浆 400g,罐,,徐博馆仓库,12.00,8.500,102.00
15100034,地扪杂果,罐,,徐博馆仓库,6.00,12.000,72.00
15100070,高达黑椒碎,罐,,徐博馆仓库,2.00,53.000,106.00
15100071,桂花糖 300g,支,,徐博馆仓库,5.00,5.000,25.00
15100073,蓬盛榄菜,瓶,,徐博馆仓库,16.00,4.000,64.00
15100074,天津冬菜,罐,,徐博馆仓库,8.00,2.500,20.00
15100077,金牌水蜜桃 822g,罐,,徐博馆仓库,2.00,13.000,26.00
15100079,百利红腰豆 432g,罐,,徐博馆仓库,8.00,4.600,36.80
15100085,东古野山椒 180g,瓶,,徐博馆仓库,5.00,3.500,17.50
15100091,宝鼎黑小榄 350G,瓶,,徐博馆仓库,2.00,15.000,30.00
15100097,咸柠檬,瓶,,徐博馆仓库,1.00,85.000,85.00
15100098,酸青瓜,瓶,,徐博馆仓库,12.00,21.000,252.00
15110009,酸子姜,罐,,徐博馆仓库,8.00,12.000,96.00
15120001,太子参,斤,,徐博馆仓库,1.50,550.000,825.00
15120004,海马,斤,,徐博馆仓库,0.70,"3,000.000","2,100.00"
15120007,杞子,斤,,徐博馆仓库,1.00,35.000,35.00
15120008,沙参,斤,,徐博馆仓库,2.00,98.065,196.13
15120009,玉竹,斤,,徐博馆仓库,6.00,147.000,882.00
15120010,党参,斤,,徐博馆仓库,4.00,225.000,900.00
15120019,白术,斤,,徐博馆仓库,4.00,75.000,300.00
15120022,当归,斤,,徐博馆仓库,5.00,161.660,808.30
15120026,杜仲,斤,,徐博馆仓库,1.00,22.000,22.00
15120027,罗汉果,只,,徐博馆仓库,6.00,1.200,7.20
15120044,桂皮,斤,,徐博馆仓库,1.00,10.000,10.00
15120048,草果,斤,,徐博馆仓库,2.00,30.000,60.00
15120049,甘草,斤,,徐博馆仓库,1.00,15.000,15.00
15120054,豆扣,斤,,徐博馆仓库,1.50,32.000,48.00
15120057,石斛,斤,,徐博馆仓库,2.00,733.330,"1,466.66"
15120059,灵芝,斤,,徐博馆仓库,3.00,55.000,165.00
15120074,锁阳,斤,,徐博馆仓库,2.00, , 
15120086,西藏红花,g,,徐博馆仓库,56.75,13.392,760.00
15120102,虫草花,斤,,徐博馆仓库,3.00,80.000,240.00
15120119,地龙干,斤,,徐博馆仓库,3.00,220.000,660.00
15120138,川弓,斤,,徐博馆仓库,0.20,65.000,13.00
15120143,宝光珍珠,斤,,徐博馆仓库,1.99,982.874,"1,955.92"
15120156,鹿茸片 37.5G,包,,徐博馆仓库,22.00,200.000,"4,400.00"
15120171,刺龟壳（海胆）,斤,,徐博馆仓库,3.00,48.000,144.00
15120172,黄芪,斤,,徐博馆仓库,7.00,110.000,770.00
15120174,20年陈皮,斤,,徐博馆仓库,6.00,658.330,"3,949.98"
15120175,15年陈皮,斤,,徐博馆仓库,3.00,464.670,"1,394.01"
,食品,,,,,,"456,229.58"
1617,雪茶,KG,,徐博馆仓库,2.70,150.000,405.00
1623,西藏雪菊花,斤,,徐博馆仓库,1.00,24.000,24.00
,饮料,,,,,,429.00
17070001,运费,次,,徐博馆仓库,3.00,22.000,66.00
Y1020082,高级料理刀,把,,徐博馆仓库,1.00,500.000,500.00
Y1020083,双立人刀,把,,徐博馆仓库,1.00,500.000,500.00
合计,,,,,"1,815.24",252.345,"457,000.58"
