物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额
15010017,橄榄油 1公升,瓶,,徐博馆仓库,2.00,37.000,74.00
15010033,虾头油 200克,罐,,徐博馆仓库,6.00,25.000,150.00
15010051,日本蚝油,支,,徐博馆仓库,24.00,120.000,"2,880.00"
15020002,白味盐,支,,徐博馆仓库,4.00,7.000,28.00
15020013,黑盐,瓶,,徐博馆仓库,287.00,27.658,"7,937.85"
15020014,双桥牌味精,包,,徐博馆仓库,2.00,8.000,16.00
15030003,冰片糖 9.6千克,件,,徐博馆仓库,2.00,57.000,114.00
15030004,麦牙糖 250g,罐,,徐博馆仓库,10.00,3.000,30.00
15030005,宝生园蜜糖 375克,瓶,,徐博馆仓库,15.00,6.500,97.50
15030015,太古红糖 350克,包,,徐博馆仓库,2.00,6.000,12.00
15040001,樱花芥辣 43g,支,,徐博馆仓库,2.00,9.000,18.00
15040002,支庄地扪茄酱 340克,支,,徐博馆仓库,18.00,6.000,108.00
15040005,李锦记豆瓣酱 226克,支,,徐博馆仓库,12.00,20.500,246.00
15040007,四季宝花生酱 1kg,罐,,徐博馆仓库,5.00,35.000,175.00
15040010,卡夫奇妙酱 700ml,瓶,,徐博馆仓库,2.00,22.000,44.00
15040012,沙茶酱(李锦记） 198克,瓶,,徐博馆仓库,9.00,15.600,140.40
15040017,老干妈风味豆豉 280克,瓶,,徐博馆仓库,14.00,7.000,98.00
15040019,芝麻酱 510克,瓶,,徐博馆仓库,3.00,8.500,25.50
15040024,原汁酸梅 350g,瓶,,徐博馆仓库,2.00,4.500,9.00
15040036,味可美草莓酱,瓶,,徐博馆仓库,10.00,8.900,89.00
15040041,蒜茸辣椒酱(李锦记） 226克,瓶,,徐博馆仓库,2.00,22.000,44.00
15040043,叉烧酱,瓶,,徐博馆仓库,13.00,21.500,279.50
15040049,阳江豆豉 400克,合,,徐博馆仓库,3.00,4.200,12.60
15040081,李锦记虾酱 227克,瓶,,徐博馆仓库,1.00,21.000,21.00
15040089,地门玉米粒 420g,罐,,徐博馆仓库,8.00,6.000,48.00
15040095,海鲜酱(李锦记） 240g,瓶,,徐博馆仓库,3.00,14.000,42.00
15040106,东莞黄豆酱 2.8KG,罐,,徐博馆仓库,2.00,48.000,96.00
15040107,红泡椒,罐,,徐博馆仓库,2.00,11.500,23.00
15040118,黑松露酱,瓶,,徐博馆仓库,4.00,487.500,"1,950.00"
15040148,丘比蓝莓酱,瓶,,徐博馆仓库,5.00,17.500,87.50
15050016,宁化府陈醋 330ml,支,,徐博馆仓库,44.00,10.750,473.00
15050019,宝鼎上海白醋,支,,徐博馆仓库,8.00,3.600,28.80
15060003,美极鲜 800毫升,瓶,,徐博馆仓库,6.00,35.500,213.00
15060009,日本海鲜豉油 200ml,瓶,,徐博馆仓库,10.00,20.000,200.00
15060010,李锦记旧装蚝油 510克,瓶,,徐博馆仓库,4.00,29.500,118.00
15060016,泰国鱼露 725毫升,瓶,,徐博馆仓库,4.00,8.000,32.00
15060022,保卫尔牛肉汁 375ml,瓶,,徐博馆仓库,1.00,48.000,48.00
15060029,味淋 1.8l,瓶,,徐博馆仓库,1.00,55.000,55.00
15060033,家乐浓缩鸡汁 1kg,瓶,,徐博馆仓库,8.00,51.000,408.00
15060048,海天罐装金标生抽 1.9l,罐,,徐博馆仓库,6.00,16.700,100.20
15060049,海天罐装草菇老抽 1.9L,罐,,徐博馆仓库,10.00,18.000,180.00
15060054,鸡饭老抽 640ml,支,,徐博馆仓库,2.00,21.000,42.00
15060062,东古一品鲜酱油 500ML,支,,徐博馆仓库,10.00,7.500,75.00
15060063,丘比焙煎芝麻汁 1.5L,支,,徐博馆仓库,5.00,58.000,290.00
15060064,韩国烧汁,支,,徐博馆仓库,5.00,50.000,250.00
15060065,李派林急汁,支,,徐博馆仓库,1.00,17.500,17.50
15060069,家乐麻辣鲜露 400ml,支,,徐博馆仓库,4.00,15.000,60.00
15070023,鱼胶粉 500克,盒,,徐博馆仓库,3.00,52.000,156.00
15070026,鹰粟粉 1kg,包,,徐博馆仓库,3.00,10.000,30.00
15070027,斧头食粉 454g,合,,徐博馆仓库,5.00,4.500,22.50
15070029,依仕粉 500g,包,,徐博馆仓库,3.00,17.000,51.00
15070032,松肉粉,瓶,,徐博馆仓库,2.00,11.000,22.00
15070084,鸡粉 2kg,罐,,徐博馆仓库,8.00,65.000,520.00
15070125,客家鸡料,盒,,徐博馆仓库,4.00,9.000,36.00
15070134,靓佛手味粉 4540g,包,,徐博馆仓库,2.00,165.000,330.00
15070146,木薯粉 0.5KG,包,,徐博馆仓库,7.00,5.500,38.50
15070148,麝香,支,,徐博馆仓库,80.00,117.957,"9,436.59"
15080002,虾米,斤,,徐博馆仓库,5.00,43.000,215.00
15080014,大花菇,斤,,徐博馆仓库,6.00,166.730,"1,000.38"
15080019,竹笙,斤,,徐博馆仓库,6.20,300.000,"1,860.00"
15080023,榆耳,斤,,徐博馆仓库,1.00,150.000,150.00
