id,name,quantity_unit,price_unit,price,quantity,revenue,department_id,month_id,year_id
80,焦糖布甸蛋糕(11月套餐)（份）,份,RMB,38.32,40.0,1532.80,3,12,1
81,炸腰果,例,RMB,28.00,52.0,1456.00,1,11,1
82,泰式煎仓鱼,条,RMB,88.00,1.0,88.00,5,4,2
83,樱花虾安康鱼肝炒饭（套餐10月）,份,RMB,17.69,53.0,937.57,5,8,1
84,菜心（位）,位,RMB,28.00,11.0,308.00,5,1,1
85,菜心（位）,位,RMB,28.00,1.0,28.00,5,1,2
86,欧式芝士蛋糕,位,RMB,26.00,1.0,26.00,3,10,1
87,清汤窝底,个,RMB,40.00,1.0,40.00,5,4,1
88,陈醋,碗,RMB,10.00,1.0,10.00,5,10,1
89,黑芝麻汤圆,位,RMB,28.00,4.0,112.00,3,4,1
90,川弓白芷煮有机水鱼,例,RMB,198.00,17.0,3366.00,5,1,2
91,红酒汁低温羊排配日本黑蒜,位,RMB,88.00,9.0,792.00,4,3,1
92,红酒汁低温羊排配日本黑蒜,位,RMB,88.00,125.0,11000.00,4,3,2
93,辣椒叶（位）,位,RMB,28.00,34.0,952.00,5,9,1
94,梅乐卡伯纳红2012年,支,RMB,600.00,1.0,600.00,2,2,1
95,咖喱芝心角（中）,份,RMB,18.00,45.0,810.00,3,7,1
96,鲜榨木瓜汁,杯,RMB,20.00,3.0,60.00,2,2,2
97,绍兴20年花雕,支,RMB,380.00,1.0,380.00,2,9,1
98,香煎匈牙利鹅肝,位,RMB,168.00,4.0,672.00,4,3,1
99,美点三品拼,份,RMB,28.00,55.0,1540.00,3,4,2
100,鲜人参沙白浸桑果鸡,例,RMB,138.00,168.0,23184.00,5,10,1
101,黑松露吞拿鱼腩,位,RMB,128.00,5.0,640.00,4,10,1
102,温泉蛋脆皮雪花牛肉,位,RMB,280.00,64.0,17920.00,4,2,2
103,温泉蛋脆皮雪花牛肉,位,RMB,280.00,45.0,12600.00,4,2,1
104,荷花鱼沼米粥,例,RMB,98.00,1.0,98.00,5,7,1
105,至尊班兰莲蓉月,盒,RMB,268.00,25.0,6700.00,7,9,1
106,清炒鲜莲子（中）,中,RMB,156.00,1.0,156.00,5,7,1
107,高度茅台53度,支,RMB,"1,980.00",3.0,5940.00,2,5,1
108,喜之次鱼,斤,RMB,680.00,2.4,1632.00,5,3,1
109,泰式金仓鱼,份,RMB,88.00,1.0,88.00,5,4,2
110,野生花旗参蜜枣茶（午市散台）,位,RMB,18.00,158.0,2844.00,2,3,2
111,野生花旗参蜜枣茶（午市散台）,位,RMB,18.00,79.0,1422.00,2,3,1
112,蓝莓鹅肝,份,RMB,198.00,1.0,198.00,1,5,1
113,酥皮咖喱局牛崧（特）,份,RMB,26.00,29.0,754.00,3,3,2
114,白粥（中）,中,RMB,58.0,2.0,116.0,5,1,2
115,香草酱皇蒸凤爪（大）(半价）,份,RMB,11.00,3.0,33.00,3,8,1
116,意大利圣培露（橙汁）,瓶,RMB,25.00,5.0,125.00,2,4,2
117,意大利圣培露（橙汁）,瓶,RMB,25.00,2.0,50.00,2,4,1
118,博士养生茶,位,RMB,28.00,246.0,6888.00,2,4,2
119,徐博馆香葱酱,碟,RMB,10.00,2.0,20.00,5,5,1
120,鱼沼米海鲜泡饭,位,RMB,28.00,65.0,1820.00,5,7,1
121,野竹笙浸鲜蔬苗（大）,份,RMB,22.00,300.0,6600.00,5,4,2
122,泡白萝卜,份,RMB,38.00,2.0,76.00,5,4,1
123,菜心,例,RMB,58.00,15.0,870.00,5,10,1
124,露笋百合炒元贝,例,RMB,198.00,6.0,1188.00,5,1,2
125,低温百合茄鹅肝,份,RMB,88.00,1.0,88.00,5,2,1
126,西芹百合淮山（位）,位,RMB,48.00,1.0,48.00,5,9,1
127,樱花豉油,支,RMB,48.00,8.0,384.00,5,7,1
128,自带茶叶,位,RMB,15.00,137.0,2055.00,2,5,1
129,西芹百合炒露笋,例,RMB,88.00,1.0,88.00,5,6,1
130,野竹笙浸鲜蔬苗（位）,位,RMB,38.00,6.0,228.00,5,1,2
131,软黑芙蓉王,包,RMB,88.00,8.0,704.00,2,5,1
132,西藏甘草雪茶（午市散台）,位,RMB,18.00,49.0,882.00,2,5,1
133,阿拉斯加蟹,份,RMB,336.00,7.0,2352.00,5,4,2
134,夏日鲜茄局鲜莲,位,RMB,68.00,34.0,2312.00,4,7,1
135,阿拉斯加蟹,斤,RMB,328.00,7.0,2296.00,8,9,1
136,生菜,例,RMB,68.00,6.0,408.00,5,2,1
137,娃娃鱼,斤,RMB,980.00,4.3,4214.00,8,6,1
138,黑竹盐脆虾包（特）,份,RMB,26.00,55.0,1430.00,3,12,1
139,罗氏虾,斤,RMB,138.00,28.5,3933.00,8,4,2
140,荞菜爆河虾仔,例,RMB,78.00,18.0,1404.00,5,1,2
141,日本3头岩手大网鲍扒烟薰姬松茸菌配汤（组合）,位,RMB,"1,833.00",4.0,7332.00,6,12,1
142,海苔琵琶豆腐丸（大）（半价）,份,RMB,11.00,333.0,3663.00,5,3,1
143,浓鸡汤稻庭面,位,RMB,38.00,3.0,114.00,5,1,2
144,水果（送）,位,RMB,0.00,2587.0,0.00,2,3,1
145,水果（送）,位,RMB,0.00,1988.0,0.00,2,3,2
146,鹅肝粒炒饭（顶）,份,RMB,30.00,71.0,2130.00,5,9,1
147,长打包盒,个,RMB,2.00,350.0,700.00,2,3,2
148,五叶神沙虫干炖山斑,位,RMB,168.00,14.0,2352.00,9,5,1
149,酸辣煮法国鹅筋,份,RMB,27.17,48.0,1304.0,5,4,2
150,冰冻清润茶,位,RMB,18.00,32.0,576.00,2,6,1
151,柠檬咸柑桔水,位,RMB,18.00,86.0,1548.00,2,3,2
152,小木耳,份,RMB,28.00,1.0,28.00,5,3,1
153,金瓜五谷烩龙趸皮,位,RMB,141.75,64.0,9072.0,4,7,1
154,养生灵芝金瓜糕,位,RMB,20.00,6.0,120.00,3,3,2
155,瑶柱好味酱（瓶）,瓶,RMB,80.00,5.0,400.00,5,2,2
156,陈年普洱,位,RMB,28.00,258.0,7224.00,2,3,2
157,藏红花润肺茶(赠送）,位,RMB,0.00,338.0,0.00,2,4,2
158,开刀龙趸,斤,RMB,198.00,18.0,3564.00,8,7,1
159,意大利黑醋拌海蜇,份,RMB,88.00,36.0,3168.00,1,7,1
